name_clean,race,order,race_num,character_id
GALADRIEL,Elf,1,2,1
GALADRIEL,Elf,2,2,1
GALADRIEL,Elf,3,2,1
GALADRIEL,Elf,4,2,1
GALADRIEL,Elf,5,2,1
GALADRIEL,Elf,6,2,1
GALADRIEL,Elf,7,2,1
GALADRIEL,Elf,8,2,1
GALADRIEL,Elf,9,2,1
GALADRIEL,Elf,10,2,1
GALADRIEL,Elf,11,2,1
GALADRIEL,Elf,12,2,1
GALADRIEL,Elf,13,2,1
GALADRIEL,Elf,14,2,1
GALADRIEL,Elf,15,2,1
GALADRIEL,Elf,16,2,1
GALADRIEL,Elf,17,2,1
GALADRIEL,Elf,18,2,1
GALADRIEL,Elf,19,2,1
GALADRIEL,Elf,20,2,1
GALADRIEL,Elf,21,2,1
GALADRIEL,Elf,22,2,1
GALADRIEL,Elf,23,2,1
GALADRIEL,Elf,24,2,1
GALADRIEL,Elf,25,2,1
GALADRIEL,Elf,26,2,1
GOLLUM,Hobbit,27,5,2
GALADRIEL,Elf,28,2,1
GALADRIEL,Elf,29,2,1
GOLLUM,Hobbit,30,5,2
GALADRIEL,Elf,31,2,1
GALADRIEL,Elf,32,2,1
GALADRIEL,Elf,33,2,1
GALADRIEL,Elf,34,2,1
GALADRIEL,Elf,35,2,1
BILBO,Hobbit,36,5,3
GALADRIEL,Elf,37,2,1
BILBO,Hobbit,38,5,3
GOLLUM,Hobbit,39,5,2
GALADRIEL,Elf,40,2,1
FRODO,Hobbit,41,5,4
GANDALF,Ainur,42,1,5
FRODO,Hobbit,43,5,4
GANDALF,Ainur,44,1,5
FRODO,Hobbit,45,5,4
GANDALF,Ainur,46,1,5
GANDALF,Ainur,47,1,5
GANDALF,Ainur,48,1,5
GANDALF,Ainur,49,1,5
FRODO,Hobbit,50,5,4
GANDALF,Ainur,51,1,5
FRODO,Hobbit,52,5,4
GANDALF,Ainur,53,1,5
FRODO,Hobbit,54,5,4
GANDALF,Ainur,55,1,5
FRODO,Hobbit,56,5,4
GANDALF,Ainur,57,1,5
FRODO,Hobbit,58,5,4
GANDALF,Ainur,59,1,5
FRODO,Hobbit,60,5,4
GANDALF,Ainur,61,1,5
FRODO,Hobbit,62,5,4
GANDALF,Ainur,63,1,5
BILBO,Hobbit,64,5,3
GANDALF,Ainur,65,1,5
BILBO,Hobbit,66,5,3
GANDALF,Ainur,67,1,5
BILBO,Hobbit,68,5,3
GANDALF,Ainur,69,1,5
GANDALF,Ainur,70,1,5
BILBO,Hobbit,71,5,3
BILBO,Hobbit,72,5,3
BILBO,Hobbit,73,5,3
BILBO,Hobbit,74,5,3
BILBO,Hobbit,75,5,3
GANDALF,Ainur,76,1,5
BILBO,Hobbit,77,5,3
GANDALF,Ainur,78,1,5
MRS. SACKVILLE BAGGINS,Hobbit,79,5,6
BILBO,Hobbit,80,5,3
BILBO,Hobbit,81,5,3
GANDALF,Ainur,82,1,5
BILBO,Hobbit,83,5,3
GANDALF,Ainur,84,1,5
BILBO,Hobbit,85,5,3
GANDALF,Ainur,86,1,5
BILBO,Hobbit,87,5,3
GANDALF,Ainur,88,1,5
BILBO,Hobbit,89,5,3
BILBO,Hobbit,90,5,3
BILBO,Hobbit,91,5,3
BILBO,Hobbit,92,5,3
BILBO,Hobbit,93,5,3
BILBO,Hobbit,94,5,3
FRODO,Hobbit,95,5,4
SAM,Hobbit,96,5,7
FRODO,Hobbit,97,5,4
BILBO,Hobbit,98,5,3
BILBO,Hobbit,99,5,3
MERRY,Hobbit,100,5,8
MERRY,Hobbit,101,5,8
PIPPIN,Hobbit,102,5,9
MERRY,Hobbit,103,5,8
PIPPIN,Hobbit,104,5,9
FRODO,Hobbit,105,5,4
BILBO,Hobbit,106,5,3
MERRY,Hobbit,107,5,8
PIPPIN,Hobbit,108,5,9
GANDALF,Ainur,109,1,5
MERRY,Hobbit,110,5,8
FRODO,Hobbit,111,5,4
BILBO,Hobbit,112,5,3
FRODO,Hobbit,113,5,4
BILBO,Hobbit,114,5,3
BILBO,Hobbit,115,5,3
BILBO,Hobbit,116,5,3
BILBO,Hobbit,117,5,3
BILBO,Hobbit,118,5,3
GANDALF,Ainur,119,1,5
BILBO,Hobbit,120,5,3
GANDALF,Ainur,121,1,5
BILBO,Hobbit,122,5,3
GANDALF,Ainur,123,1,5
BILBO,Hobbit,124,5,3
GANDALF,Ainur,125,1,5
BILBO,Hobbit,126,5,3
BILBO,Hobbit,127,5,3
GANDALF,Ainur,128,1,5
BILBO,Hobbit,129,5,3
GANDALF,Ainur,130,1,5
BILBO,Hobbit,131,5,3
GANDALF,Ainur,132,1,5
BILBO,Hobbit,133,5,3
GANDALF,Ainur,134,1,5
BILBO,Hobbit,135,5,3
GANDALF,Ainur,136,1,5
GANDALF,Ainur,137,1,5
GANDALF,Ainur,138,1,5
BILBO,Hobbit,139,5,3
BILBO,Hobbit,140,5,3
GANDALF,Ainur,141,1,5
BILBO,Hobbit,142,5,3
GANDALF,Ainur,143,1,5
BILBO,Hobbit,144,5,3
BILBO,Hobbit,145,5,3
GANDALF,Ainur,146,1,5
BILBO,Hobbit,147,5,3
GANDALF,Ainur,148,1,5
GANDALF,Ainur,149,1,5
BILBO,Hobbit,150,5,3
GANDALF,Ainur,151,1,5
FRODO,Hobbit,152,5,4
GANDALF,Ainur,153,1,5
FRODO,Hobbit,154,5,4
FRODO,Hobbit,155,5,4
GANDALF,Ainur,156,1,5
FRODO,Hobbit,157,5,4
GANDALF,Ainur,158,1,5
GANDALF,Ainur,159,1,5
GANDALF,Ainur,160,1,5
GANDALF,Ainur,161,1,5
FRODO,Hobbit,162,5,4
GANDALF,Ainur,163,1,5
FRODO,Hobbit,164,5,4
GANDALF,Ainur,165,1,5
FRODO,Hobbit,166,5,4
GANDALF,Ainur,167,1,5
GOLLUM,Hobbit,168,5,2
GANDALF,Ainur,169,1,5
GANDALF,Ainur,170,1,5
GANDALF,Ainur,171,1,5
GANDALF,Ainur,172,1,5
GANDALF,Ainur,173,1,5
GANDALF,Ainur,174,1,5
FRODO,Hobbit,175,5,4
GANDALF,Ainur,176,1,5
GANDALF,Ainur,177,1,5
FRODO,Hobbit,178,5,4
GANDALF,Ainur,179,1,5
GANDALF,Ainur,180,1,5
FRODO,Hobbit,181,5,4
GANDALF,Ainur,182,1,5
GANDALF,Ainur,183,1,5
FRODO,Hobbit,184,5,4
GANDALF,Ainur,185,1,5
GANDALF,Ainur,186,1,5
FRODO,Hobbit,187,5,4
GANDALF,Ainur,188,1,5
FRODO,Hobbit,189,5,4
FRODO,Hobbit,190,5,4
FRODO,Hobbit,191,5,4
GANDALF,Ainur,192,1,5
GANDALF,Ainur,193,1,5
GOLLUM,Hobbit,194,5,2
FRODO,Hobbit,195,5,4
FRODO,Hobbit,196,5,4
GANDALF,Ainur,197,1,5
FRODO,Hobbit,198,5,4
GANDALF,Ainur,199,1,5
