name_clean,race,order,race_num,character_id
GALADRIEL,Elf,1,2,1
GALADRIEL,Elf,2,2,1
GALADRIEL,Elf,3,2,1
GALADRIEL,Elf,4,2,1
GALADRIEL,Elf,5,2,1
GALADRIEL,Elf,6,2,1
GALADRIEL,Elf,7,2,1
GALADRIEL,Elf,8,2,1
GALADRIEL,Elf,9,2,1
GALADRIEL,Elf,10,2,1
GALADRIEL,Elf,11,2,1
GALADRIEL,Elf,12,2,1
GALADRIEL,Elf,13,2,1
GALADRIEL,Elf,14,2,1
GALADRIEL,Elf,15,2,1
GALADRIEL,Elf,16,2,1
GALADRIEL,Elf,17,2,1
GALADRIEL,Elf,18,2,1
GALADRIEL,Elf,19,2,1
GALADRIEL,Elf,20,2,1
GALADRIEL,Elf,21,2,1
GALADRIEL,Elf,22,2,1
GALADRIEL,Elf,23,2,1
GALADRIEL,Elf,24,2,1
GALADRIEL,Elf,25,2,1
GALADRIEL,Elf,26,2,1
GOLLUM,Hobbit,27,5,2
GOLLUM,Hobbit,28,5,2
GALADRIEL,Elf,29,2,1
GALADRIEL,Elf,30,2,1
GOLLUM,Hobbit,31,5,2
GOLLUM,Hobbit,32,5,2
GALADRIEL,Elf,33,2,1
GALADRIEL,Elf,34,2,1
GALADRIEL,Elf,35,2,1
GALADRIEL,Elf,36,2,1
GALADRIEL,Elf,37,2,1
BILBO,Hobbit,38,5,3
GALADRIEL,Elf,39,2,1
BILBO,Hobbit,40,5,3
GOLLUM,Hobbit,41,5,2
GOLLUM,Hobbit,42,5,2
GALADRIEL,Elf,43,2,1
FRODO,Hobbit,44,5,4
GANDALF,Ainur,45,1,5
FRODO,Hobbit,46,5,4
GANDALF,Ainur,47,1,5
FRODO,Hobbit,48,5,4
GANDALF,Ainur,49,1,5
GANDALF,Ainur,50,1,5
GANDALF,Ainur,51,1,5
GANDALF,Ainur,52,1,5
FRODO,Hobbit,53,5,4
GANDALF,Ainur,54,1,5
FRODO,Hobbit,55,5,4
GANDALF,Ainur,56,1,5
FRODO,Hobbit,57,5,4
GANDALF,Ainur,58,1,5
FRODO,Hobbit,59,5,4
GANDALF,Ainur,60,1,5
FRODO,Hobbit,61,5,4
GANDALF,Ainur,62,1,5
FRODO,Hobbit,63,5,4
GANDALF,Ainur,64,1,5
FRODO,Hobbit,65,5,4
GANDALF,Ainur,66,1,5
BILBO,Hobbit,67,5,3
GANDALF,Ainur,68,1,5
BILBO,Hobbit,69,5,3
GANDALF,Ainur,70,1,5
BILBO,Hobbit,71,5,3
GANDALF,Ainur,72,1,5
GANDALF,Ainur,73,1,5
BILBO,Hobbit,74,5,3
BILBO,Hobbit,75,5,3
BILBO,Hobbit,76,5,3
BILBO,Hobbit,77,5,3
BILBO,Hobbit,78,5,3
GANDALF,Ainur,79,1,5
BILBO,Hobbit,80,5,3
GANDALF,Ainur,81,1,5
MRS. SACKVILLE BAGGINS,Hobbit,82,5,6
MRS. SACKVILLE BAGGINS,Hobbit,83,5,6
BILBO,Hobbit,84,5,3
BILBO,Hobbit,85,5,3
GANDALF,Ainur,86,1,5
BILBO,Hobbit,87,5,3
GANDALF,Ainur,88,1,5
BILBO,Hobbit,89,5,3
GANDALF,Ainur,90,1,5
BILBO,Hobbit,91,5,3
GANDALF,Ainur,92,1,5
BILBO,Hobbit,93,5,3
BILBO,Hobbit,94,5,3
BILBO,Hobbit,95,5,3
BILBO,Hobbit,96,5,3
BILBO,Hobbit,97,5,3
BILBO,Hobbit,98,5,3
FRODO,Hobbit,99,5,4
FRODO,Hobbit,100,5,4
BILBO,Hobbit,101,5,3
BILBO,Hobbit,102,5,3
MERRY,Hobbit,103,5,7
MERRY,Hobbit,104,5,7
PIPPIN,Hobbit,105,5,8
MERRY,Hobbit,106,5,7
PIPPIN,Hobbit,107,5,8
FRODO,Hobbit,108,5,4
BILBO,Hobbit,109,5,3
MERRY,Hobbit,110,5,7
PIPPIN,Hobbit,111,5,8
GANDALF,Ainur,112,1,5
MERRY,Hobbit,113,5,7
FRODO,Hobbit,114,5,4
BILBO,Hobbit,115,5,3
FRODO,Hobbit,116,5,4
BILBO,Hobbit,117,5,3
BILBO,Hobbit,118,5,3
BILBO,Hobbit,119,5,3
BILBO,Hobbit,120,5,3
BILBO,Hobbit,121,5,3
GANDALF,Ainur,122,1,5
BILBO,Hobbit,123,5,3
GANDALF,Ainur,124,1,5
BILBO,Hobbit,125,5,3
GANDALF,Ainur,126,1,5
BILBO,Hobbit,127,5,3
GANDALF,Ainur,128,1,5
BILBO,Hobbit,129,5,3
BILBO,Hobbit,130,5,3
GANDALF,Ainur,131,1,5
BILBO,Hobbit,132,5,3
GANDALF,Ainur,133,1,5
BILBO,Hobbit,134,5,3
GANDALF,Ainur,135,1,5
BILBO,Hobbit,136,5,3
GANDALF,Ainur,137,1,5
BILBO,Hobbit,138,5,3
GANDALF,Ainur,139,1,5
GANDALF,Ainur,140,1,5
GANDALF,Ainur,141,1,5
BILBO,Hobbit,142,5,3
BILBO,Hobbit,143,5,3
GANDALF,Ainur,144,1,5
BILBO,Hobbit,145,5,3
GANDALF,Ainur,146,1,5
BILBO,Hobbit,147,5,3
BILBO,Hobbit,148,5,3
GANDALF,Ainur,149,1,5
BILBO,Hobbit,150,5,3
GANDALF,Ainur,151,1,5
GANDALF,Ainur,152,1,5
BILBO,Hobbit,153,5,3
GANDALF,Ainur,154,1,5
FRODO,Hobbit,155,5,4
GANDALF,Ainur,156,1,5
FRODO,Hobbit,157,5,4
FRODO,Hobbit,158,5,4
GANDALF,Ainur,159,1,5
FRODO,Hobbit,160,5,4
GANDALF,Ainur,161,1,5
GANDALF,Ainur,162,1,5
GANDALF,Ainur,163,1,5
GANDALF,Ainur,164,1,5
FRODO,Hobbit,165,5,4
GANDALF,Ainur,166,1,5
FRODO,Hobbit,167,5,4
GANDALF,Ainur,168,1,5
FRODO,Hobbit,169,5,4
GANDALF,Ainur,170,1,5
GOLLUM,Hobbit,171,5,2
GOLLUM,Hobbit,172,5,2
GANDALF,Ainur,173,1,5
GANDALF,Ainur,174,1,5
GANDALF,Ainur,175,1,5
GANDALF,Ainur,176,1,5
GANDALF,Ainur,177,1,5
GANDALF,Ainur,178,1,5
FRODO,Hobbit,179,5,4
GANDALF,Ainur,180,1,5
GANDALF,Ainur,181,1,5
FRODO,Hobbit,182,5,4
GANDALF,Ainur,183,1,5
GANDALF,Ainur,184,1,5
FRODO,Hobbit,185,5,4
GANDALF,Ainur,186,1,5
GANDALF,Ainur,187,1,5
FRODO,Hobbit,188,5,4
GANDALF,Ainur,189,1,5
GANDALF,Ainur,190,1,5
FRODO,Hobbit,191,5,4
GANDALF,Ainur,192,1,5
FRODO,Hobbit,193,5,4
FRODO,Hobbit,194,5,4
FRODO,Hobbit,195,5,4
GANDALF,Ainur,196,1,5
GANDALF,Ainur,197,1,5
GOLLUM,Hobbit,198,5,2
