"UTC","longitude","latitude","lon1","lat1","lon_int","lat_int","group","city_name","label"
"18:29:52",-100.57134,28.84922,-100.6,28.8,-101,29,"trajectory",,
"18:29:57",-100.54641,28.87276,-100.5,28.9,-100,29,"trajectory",,
"18:30:17",-100.44655,28.96716,-100.4,29,-100,29,"trajectory",,
"18:30:37",-100.3464,29.06151,-100.3,29.1,-100,29,"trajectory",,
"18:30:57",-100.24593,29.15572,-100.2,29.2,-100,29,"trajectory",,
"18:31:17",-100.1452,29.25008,-100.1,29.3,-100,29,"trajectory",,
"18:31:36",-100.0492,29.33963,-100,29.3,-100,29,"trajectory",,
"18:31:56",-99.94782,29.43356,-99.9,29.4,-100,29,"trajectory",,
"18:32:16",-99.84619,29.52789,-99.8,29.5,-100,30,"trajectory",,
"18:32:35",-99.74934,29.61752,-99.7,29.6,-100,30,"trajectory",,
"18:32:55",-99.64704,29.71129,-99.6,29.7,-100,30,"trajectory",,
"18:33:14",-99.54959,29.80076,-99.5,29.8,-100,30,"trajectory",,
"18:33:34",-99.4467,29.89497,-99.4,29.9,-99,30,"trajectory",,
"18:33:53",-99.34866,29.98456,-99.3,30,-99,30,"trajectory",,
"18:34:13",-99.24515,30.07915,-99.2,30.1,-99,30,"trajectory",,
"18:34:32",-99.14645,30.16824,-99.1,30.2,-99,30,"trajectory",,
"18:34:51",-99.04747,30.25793,-99,30.3,-99,30,"trajectory",,
"18:35:10",-98.94817,30.34725,-98.9,30.3,-99,30,"trajectory",,
"18:35:29",-98.84856,30.437,-98.8,30.4,-99,30,"trajectory",,
"18:35:48",-98.74862,30.52714,-98.7,30.5,-99,30,"trajectory",,
"18:36:07",-98.64835,30.61604,-98.6,30.6,-99,31,"trajectory",,
"18:36:26",-98.54774,30.70633,-98.5,30.7,-98,31,"trajectory",,
"18:36:45",-98.4468,30.79577,-98.4,30.8,-98,31,"trajectory",,
"18:37:04",-98.34554,30.88471,-98.3,30.9,-98,31,"trajectory",,
"18:37:22",-98.24928,30.96942,-98.2,31,-98,31,"trajectory",,
"18:37:41",-98.14732,31.05921,-98.1,31.1,-98,31,"trajectory",,
"18:38:00",-98.04502,31.14865,-98,31.1,-98,31,"trajectory",,
"18:38:18",-97.94778,31.23334,-97.9,31.2,-98,31,"trajectory",,
"18:38:37",-97.8448,31.32255,-97.8,31.3,-98,31,"trajectory",,
"18:38:55",-97.74686,31.40767,-97.7,31.4,-98,31,"trajectory",,
"18:39:13",-97.64864,31.4921,-97.6,31.5,-98,32,"trajectory",,
"18:39:32",-97.54458,31.58153,-97.5,31.6,-98,32,"trajectory",,
"18:39:50",-97.44562,31.66651,-97.4,31.7,-97,32,"trajectory",,
"18:40:08",-97.34637,31.75105,-97.3,31.8,-97,32,"trajectory",,
"18:40:26",-97.24676,31.83567,-97.2,31.8,-97,32,"trajectory",,
"18:40:44",-97.1468,31.92027,-97.1,31.9,-97,32,"trajectory",,
"18:41:02",-97.04653,32.00461,-97,32,-97,32,"trajectory",,
"18:41:20",-96.94584,32.08938,-96.9,32.1,-97,32,"trajectory",,
"18:41:38",-96.84481,32.17404,-96.8,32.2,-97,32,"trajectory",,
"18:41:55",-96.74907,32.25392,-96.7,32.3,-97,32,"trajectory",,
"18:42:13",-96.64735,32.33837,-96.6,32.3,-97,32,"trajectory",,
"18:42:31",-96.54523,32.42304,-96.5,32.4,-96,32,"trajectory",,
"18:42:48",-96.44845,32.50292,-96.4,32.5,-96,32,"trajectory",,
"18:43:06",-96.34564,32.58733,-96.3,32.6,-96,33,"trajectory",,
"18:43:23",-96.2482,32.66704,-96.2,32.7,-96,33,"trajectory",,
