"UTC","longitude","latitude","lon1","lat1","lon_int","lat_int","group","city_name","label"
,-122.302,47.647,,,,,"extreme coordinate","Seattle, WA","upper left"
,-117.159,32.714,,,,,"extreme coordinate","San Diego, CA","lower left"
,-80.207,25.813,,,,,"extreme coordinate","Miami, FL","lower right"
,-70.281,43.718,,,,,"extreme coordinate","Portland, ME","upper right"
,-101,29,,,,,"horizontal line",,
,-100,29,,,,,"horizontal line",,
,-99,29,,,,,"horizontal line",,
,-98,29,,,,,"horizontal line",,
,-97,29,,,,,"horizontal line",,
,-96,29,,,,,"horizontal line",,
,-95,29,,,,,"horizontal line",,
,-94,29,,,,,"horizontal line",,
,-93,29,,,,,"horizontal line",,
,-92,29,,,,,"horizontal line",,
,-91,29,,,,,"horizontal line",,
,-90,29,,,,,"horizontal line",,
,-89,29,,,,,"horizontal line",,
,-88,29,,,,,"horizontal line",,
,-87,29,,,,,"horizontal line",,
,-86,29,,,,,"horizontal line",,
,-85,29,,,,,"horizontal line",,
,-84,29,,,,,"horizontal line",,
,-83,29,,,,,"horizontal line",,
,-82,29,,,,,"horizontal line",,
,-81,29,,,,,"horizontal line",,
,-80,29,,,,,"horizontal line",,
,-79,29,,,,,"horizontal line",,
,-78,29,,,,,"horizontal line",,
,-77,29,,,,,"horizontal line",,
,-76,29,,,,,"horizontal line",,
,-75,29,,,,,"horizontal line",,
,-74,29,,,,,"horizontal line",,
,-73,29,,,,,"horizontal line",,
,-72,29,,,,,"horizontal line",,
,-71,29,,,,,"horizontal line",,
,-70,29,,,,,"horizontal line",,
,-69,29,,,,,"horizontal line",,
,-68,29,,,,,"horizontal line",,
,-68,29,,,,,"vertical line",,
,-68,30,,,,,"vertical line",,
,-68,31,,,,,"vertical line",,
,-68,32,,,,,"vertical line",,
,-68,33,,,,,"vertical line",,
,-68,34,,,,,"vertical line",,
,-68,35,,,,,"vertical line",,
,-68,36,,,,,"vertical line",,
,-68,37,,,,,"vertical line",,
,-68,38,,,,,"vertical line",,
,-68,39,,,,,"vertical line",,
,-68,40,,,,,"vertical line",,
,-68,41,,,,,"vertical line",,
,-68,42,,,,,"vertical line",,
,-68,43,,,,,"vertical line",,
,-68,44,,,,,"vertical line",,
,-68,45,,,,,"vertical line",,
,-68,46,,,,,"vertical line",,
,-98.537,29.502,,,,,"major city","San Antonio, TX",
,-97.743,30.267,,,,,"major city","Austin, TX",
,-96.798,32.777,,,,,"major city","Dallas, TX",
,-92.302,34.748,,,,,"major city","Little Rock, AR",
,-85.765,38.257,,,,,"major city","Louisville, KY",
,-86.155,39.7696,,,,,"major city","Indianapolis, IN",
,-81.669,41.496,,,,,"major city","Cleveland, OH",
,-78.875,42.886,,,,,"major city","Buffalo, NY",
,-77.606,43.157,,,,,"major city","Rochester, NY",
,-100.571,28.849,,,,,"start_end",,"Trajectory Start"
,-67.849,46.278,,,,,"start_end",,"Trajectory End"
