"edit_size","start_seconds"
355,0
35,0.734
0,1.706
0,4.407
5,12.046
1085,14.844
405,14.96
-1,15.067
138,17.959
2,17.96
-5,19.025
1204,19.275
-26,19.604
21,21.179
6,21.249
-207,21.383
207,21.406
-4,21.969
92,22.092
0,22.142
0,22.158
1,22.353
122,23.014
-16,25.242
148,25.857
8,26.073
19,26.285
-1,26.523
345,27.082
188,27.56
298,27.707
8,28.526
243,28.85
117,28.942
93,30.912
-36,30.944
-15,32.126
1,34.255
28,34.278
14,35.711
434,36.88
160,37.981
-20,39.485
19,41.228
-1,41.464
-118,41.48
1,44.402
42,45.85
51,50.525
-4,51.856
-31,51.859
55,58.195
251,58.196
219,59.832
18,60.853
273,65.213
19,66.958
6,67.827
0,68.081
-2,70.187
20,70.659
1406,70.661
-46,72.899
259,73.716
-142,73.716
83,74.383
-281,74.982
99,76.709
8,76.709
31,77.294
0,77.307
195,80.984
383,81.086
0,81.827
257,81.845
491,81.864
1,87.827
79,89.125
129,90.428
2,91.047
4541,91.267
200,92.375
-17,92.68
4,92.739
-38,93.026
5,93.734
1,95.48
3,96.631
166,100.352
-60,100.392
-166,100.37
107,105.373
-78,106.374
418,106.413
-49,106.546
31,116.916
-13,117.57
84,119.089
1,119.637
7,123.083
30,125.513
9,125.667
-15,127.577
26,129.779
335,129.846
-335,129.849
593,135.097
12,137.905
-5,142.399
103,142.58
0,143.128
328,143.226
37,144.296
63,145.641
49,146.161
0,146.486
1370,147.389
-7,151.519
69,154.392
-69,154.392
-1,156.324
80,157.658
1298,158.308
501,158.857
774,158.857
132,158.858
-3,158.875
3,161.691
85,162.781
-2,164.015
2,164.026
-31,166.787
6,168.216
-597,168.628
3066,169.956
12,170.037
2,170.937
-46,171.183
-510,177.979
1521,178.251
-15,178.484
516,179.29
-49,179.869
0,180.115
1,181.574
188,182.151
4,183.48
-199,184.452
713,185.145
-68,186.962
900,186.959
-99,188.741
81,189.157
1,191.323
66,193.103
-375,193.651
375,193.651
42,195.669
340,196.174
252,196.55
314,196.621
-395,199.118
6,199.119
43,200.785
-38,200.785
-22,201.097
176,201.319
-235,201.319
55,201.319
4,201.319
-2258,204.253
433,205.507
59,206.057
-19,207.248
43,207.829
21,208.023
-10,209.66
0,209.685
857,210.411
239,212.114
6,213.097
136,213.29
7,213.639
130,213.67
17,214.305
29,215.185
-10,215.925
1024,218.355
45,221.051
4,221.118
2,225.067
283,225.091
16,227.107
-4,228.709
-1,229.048
-55,233.498
16,233.682
198,234.155
