"week","edit_size","age","timestamp","page_length","start_seconds","time_between","release"
1,373,0.007,"2004-06-04 03:29:22+00:00",421,0,0,5.922
4,37,22.029,"2004-06-26 04:00:39+00:00",456,0.734,0.734,3.611
8,0,51.17,"2004-07-25 07:23:54+00:00",456,1.706,0.972,0
19,0,132.22,"2004-10-14 08:35:53+00:00",456,4.407,2.701,0
52,5,361.371,"2005-05-31 12:14:16+00:00",461,12.046,7.639,1.609
64,1490,448.786,"2005-08-26 22:10:30+00:00",1951,14.96,2.914,7.307
65,1,452.002,"2005-08-30 03:22:30+00:00",1950,15.067,0.106999999999999,0.5
77,140,538.791,"2005-11-24 22:17:47+00:00",2090,17.96,2.893,4.942
82,5,570.754,"2005-12-26 21:25:13+00:00",2085,19.025,1.065,1.609
83,1204,578.246,"2006-01-03 09:13:09+00:00",3289,19.275,0.25,7.093
84,26,588.107,"2006-01-13 05:52:50+00:00",3263,19.604,0.329000000000001,3.258
91,27,637.477,"2006-03-03 14:46:38+00:00",3290,21.249,1.645,3.296
92,414,642.172,"2006-03-08 07:27:00+00:00",3290,21.406,0.157,6.026
95,96,664.755,"2006-03-30 21:26:17+00:00",3378,22.158,0.752000000000002,4.564
96,1,670.587,"2006-04-05 17:24:11+00:00",3379,22.353,0.195,0.5
99,122,690.43,"2006-04-25 13:38:33+00:00",3501,23.014,0.660999999999998,4.804
109,16,757.269,"2006-07-01 09:46:40+00:00",3485,25.242,2.228,2.773
111,148,775.699,"2006-07-19 20:05:53+00:00",3633,25.857,0.614999999999998,4.997
112,8,782.183,"2006-07-26 07:42:52+00:00",3641,26.073,0.216000000000001,2.079
113,19,788.56,"2006-08-01 16:45:20+00:00",3660,26.285,0.212,2.944
114,1,795.678,"2006-08-08 19:35:54+00:00",3659,26.523,0.238,0.5
116,345,812.449,"2006-08-25 14:06:32+00:00",4004,27.082,0.559000000000001,5.844
118,188,826.793,"2006-09-08 22:21:55+00:00",4192,27.56,0.477999999999998,5.236
119,300,831.203,"2006-09-13 08:12:15+00:00",4490,27.707,0.147000000000002,5.704
123,8,855.778,"2006-10-07 21:59:10+00:00",4498,28.526,0.818999999999999,2.079
124,360,868.262,"2006-10-20 09:36:01+00:00",4858,28.942,0.416,5.886
133,129,928.333,"2006-12-19 11:19:16+00:00",4915,30.944,2.002,4.86
138,15,963.77,"2007-01-23 21:48:28+00:00",4900,32.126,1.182,2.708
147,43,1028.331,"2007-03-29 11:16:11+00:00",4929,34.278,2.152,3.761
153,14,1071.326,"2007-05-11 11:08:34+00:00",4943,35.711,1.433,2.639
158,434,1106.415,"2007-06-15 13:17:04+00:00",5377,36.88,1.169,6.073
163,178,1139.427,"2007-07-18 13:34:50+00:00",5537,37.981,1.101,5.182
170,20,1184.541,"2007-09-01 16:18:05+00:00",5517,39.485,1.504,2.996
177,91,1236.85,"2007-10-23 23:43:46+00:00",5536,41.228,1.743,4.511
178,119,1244.393,"2007-10-31 12:44:43+00:00",5417,41.48,0.251999999999995,4.779
191,1,1332.067,"2008-01-27 04:56:10+00:00",5418,44.402,2.922,0.5
197,42,1375.49,"2008-03-10 15:04:16+00:00",5460,45.85,1.448,3.738
217,51,1515.758,"2008-07-28 21:30:11+00:00",5511,50.525,4.675,3.932
223,35,1555.758,"2008-09-06 21:31:21+00:00",5476,51.859,1.334,3.555
250,306,1745.87,"2009-03-16 00:11:26+00:00",5782,58.196,6.337,5.724
